lat,lon
37.700449,-122.480799
37.700449,-122.480231
37.700449,-122.479663
37.700449,-122.479094
37.700449,-122.478526
37.700449,-122.477958
37.700449,-122.47739
37.700449,-122.476822
37.700449,-122.476254
37.700449,-122.475686
37.700449,-122.475118
37.700449,-122.474549
37.700449,-122.473981
37.700449,-122.473413
37.700449,-122.472845
37.700449,-122.472277
37.700449,-122.471709
37.700449,-122.471141
37.700449,-122.470572
37.700449,-122.470004
37.700449,-122.469436
37.700449,-122.468868
37.700449,-122.4683
37.700449,-122.467732
37.700449,-122.467164
37.700449,-122.466596
37.700449,-122.466027
37.700449,-122.465459
37.700449,-122.464891
37.700449,-122.464323
37.700449,-122.463755
37.700449,-122.463187
37.700449,-122.462619
37.700449,-122.462051
37.700449,-122.461482
37.700449,-122.460914
37.700449,-122.460346
37.700449,-122.459778
37.700449,-122.45921
37.700449,-122.458642
37.700449,-122.458074
37.700449,-122.457505
37.700449,-122.456937
37.700449,-122.456369
37.700449,-122.455801
37.700449,-122.455233
37.700449,-122.454665
37.700449,-122.454097
37.700449,-122.453529
37.700449,-122.45296
37.700449,-122.452392
37.700449,-122.451824
37.700449,-122.451256
37.700449,-122.450688
37.700449,-122.45012
37.700449,-122.449552
37.700449,-122.448983
37.700449,-122.448415
37.700449,-122.447847
37.700449,-122.447279
37.700449,-122.446711
37.700449,-122.446143
37.700449,-122.445575
37.700449,-122.445007
37.700449,-122.444438
37.700449,-122.44387
37.700449,-122.443302
37.700449,-122.442734
37.700449,-122.442166
37.700449,-122.441598
37.700449,-122.44103
37.700449,-122.440461
37.700449,-122.439893
37.700449,-122.439325
37.700449,-122.438757
37.700449,-122.438189
37.700449,-122.437621
37.700449,-122.437053
37.700449,-122.436485
37.700449,-122.435916
37.700449,-122.435348
37.700449,-122.43478
37.700449,-122.434212
37.700449,-122.433644
37.700449,-122.433076
37.700449,-122.432508
37.700449,-122.431939
37.700449,-122.431371
37.700449,-122.430803
37.700449,-122.430235
37.700449,-122.429667
37.700449,-122.429099
37.700449,-122.428531
37.700449,-122.427963
37.700449,-122.427394
37.700449,-122.426826
37.700449,-122.426258
37.700449,-122.42569
37.700449,-122.425122
37.700449,-122.424554
37.700449,-122.423986
37.700449,-122.423418
37.700449,-122.422849
37.700449,-122.422281
37.700449,-122.421713
37.700449,-122.421145
37.700449,-122.420577
37.700449,-122.420009
37.700449,-122.419441
37.700449,-122.418872
37.700449,-122.418304
37.700449,-122.417736
37.700449,-122.417168
37.700449,-122.4166
37.700449,-122.416032
37.700449,-122.415464
37.700449,-122.414896
37.700449,-122.414327
37.700449,-122.413759
37.700449,-122.413191
37.700449,-122.412623
37.700449,-122.412055
37.700449,-122.411487
37.700449,-122.410919
37.700449,-122.41035
37.700449,-122.409782
37.700449,-122.409214
37.700449,-122.408646
37.700449,-122.408078
37.700449,-122.40751
37.700449,-122.406942
37.700449,-122.406374
37.700449,-122.405805
37.700449,-122.405237
37.700449,-122.404669
37.700449,-122.404101
37.700449,-122.403533
37.700449,-122.402965
37.700449,-122.402397
37.700449,-122.401828
37.700449,-122.40126
37.700449,-122.400692
37.700449,-122.400124
37.700449,-122.399556
37.700449,-122.398988
37.700449,-122.39842
37.700449,-122.397852
37.700449,-122.397283
37.700449,-122.396715
37.700449,-122.396147
37.700449,-122.395579
37.700449,-122.395011
37.700449,-122.394443
37.700449,-122.393875
37.700449,-122.393306
37.700449,-122.392738
37.700449,-122.39217
37.700449,-122.391602
37.700449,-122.391034
37.700449,-122.390466
37.700449,-122.389898
37.700449,-122.38933
37.700449,-122.388761
37.700449,-122.388193
37.700449,-122.387625
37.700449,-122.387057
37.700449,-122.386489
37.700449,-122.385921
37.700449,-122.385353
37.700449,-122.384785
37.700449,-122.384216
37.700449,-122.383648
37.700449,-122.38308
37.700449,-122.382512
37.700449,-122.381944
37.700449,-122.381376
37.700449,-122.380808
37.700449,-122.380239
37.700449,-122.379671
37.700449,-122.379103
37.700449,-122.378535
37.700449,-122.377967
37.700449,-122.377399
37.700449,-122.376831
37.700449,-122.376263
37.700449,-122.375694
37.700449,-122.375126
37.700449,-122.374558
37.700449,-122.37399
37.700449,-122.373422
37.700449,-122.372854
37.700449,-122.372286
37.700449,-122.371717
37.700449,-122.371149
37.700449,-122.370581
37.700449,-122.370013
37.700449,-122.369445
37.700449,-122.368877
37.700449,-122.368309
37.700449,-122.367741
37.700449,-122.367172
37.700449,-122.366604
37.700449,-122.366036
37.700449,-122.365468
37.700449,-122.3649
37.700449,-122.364332
37.700449,-122.363764
37.700449,-122.363195
37.700449,-122.362627
37.700449,-122.362059
37.700449,-122.361491
37.700449,-122.360923
37.700449,-122.360355
37.700449,-122.359787
37.700449,-122.359219
37.700449,-122.35865
37.700449,-122.358082
37.700449,-122.357514
37.700449,-122.356946
37.700449,-122.356378
37.700449,-122.35581
37.700449,-122.355242
37.700449,-122.354673
37.700449,-122.354105
37.700449,-122.353537
37.700449,-122.352969
37.700449,-122.352401
37.700449,-122.351833
37.700449,-122.351265
37.700449,-122.350697
37.700449,-122.350128
37.700898,-122.52
37.700898,-122.519432
37.700898,-122.518864
